OBJECTID,ID,DNAME2016,District_2016,DCODE2014,DNAME2014,District_2014,SUBREGION,REGION,Households_2014,Population_2014,Male_2014,Female_2014,Area_GIS_km2,Population_Density_2014,Average_Household_Size_2014,Attending_School_6_to_12yr_2014,Not_attending_School_6_to_12yr_2014,Never_been_to_School_15plus_2014,Attended_Primary_15plus_2014,Attended_Secondary_and_above_15plus_2014,Literate_18plus_2014,Not_Literate_18plus_2014,HH_Subsistence_Farming_2014,HH_non_Subsistence_Farming_2014,HH_own_Radio_2014,HH_own_Bicycle_2014,HH_own_Motorcycle_2014,HH_own_Moquito_Net_2014,HH_own_two_sets_Clothing_2014,HH_Salt_available_2014,HH_at_least_two_Meals_a_Day_2014,HH_Wall_temporary_2014,HH_Wall_permanent_2014,HH_Roof_temporary_2014,HH_Roof_permanent_2014,HH_Floor_temporary_2014,HH_Floor_permanent_2014,HH_Unprotected_Drinking_Water_2014,HH_Protected_Drinking_Water_2014,HH_Improved_Toilet_2014,HH_Unimproved_Toilet_2014,HH_No_Toilet_2014,HH_Lighting_Electricity_2014,HH_Lighting_Electricity_2014_percent,HH_Lighting_Paraffin_Lantern_2014,HH_Lighting_Paraffin_Tadooba_2014,HH_Lighting_Other_2014,District_HQ_Electrification_2015_Status,District_HQ_Electrification_2015_Comment,Shape_Length,Shape_Area
1,1.000000000000000,ABIM,Abim,314.000000000000000,ABIM,Abim,KARAMOJA,NORTHERN REGION,18083.000000000000000,107966.000000000000000,52456.000000000000000,55510.000000000000000,2748.699894560131300,39.278933365432962,5.970580102859039,18443.000000000000000,7713.000000000000000,14180.000000000000000,19801.000000000000000,17082.000000000000000,25960.000000000000000,17290.000000000000000,15683.000000000000000,2400.000000000000000,5480.000000000000000,6585.000000000000000,913.000000000000000,17581.000000000000000,12459.000000000000000,14967.000000000000000,8086.000000000000000,15430.000000000000000,2653.000000000000000,15094.000000000000000,2989.000000000000000,16106.000000000000000,1977.000000000000000,320.000000000000000,17763.000000000000000,2770.000000000000000,9155.000000000000000,6158.000000000000000,907.000000000000000,5.015760659182657,2037.000000000000000,3159.000000000000000,11980.000000000000000,Electrified,Operated by PACMECS,297257.952760360150000,2748734606.918135600000000
2,2.000000000000000,ADJUMANI,Adjumani,301.000000000000000,ADJUMANI,Adjumani,WEST NILE,NORTHERN REGION,41360.000000000000000,225251.000000000000000,108298.000000000000000,116953.000000000000000,3090.274505601621500,72.890288416675020,5.446107350096712,41951.000000000000000,8395.000000000000000,22088.000000000000000,53638.000000000000000,30817.000000000000000,53887.000000000000000,35909.000000000000000,25517.000000000000000,15843.000000000000000,13955.000000000000000,13382.000000000000000,3016.000000000000000,37794.000000000000000,32596.000000000000000,36639.000000000000000,33509.000000000000000,30178.000000000000000,11182.000000000000000,35680.000000000000000,5680.000000000000000,33787.000000000000000,7573.000000000000000,2631.000000000000000,38729.000000000000000,8407.000000000000000,26320.000000000000000,6633.000000000000000,3716.000000000000000,8.984526112185687,3987.000000000000000,9934.000000000000000,23723.000000000000000,Electrified,,287872.915807042790000,3090316376.972904700000000
3,3.000000000000000,AGAGO,Agago,322.000000000000000,AGAGO,Agago,ACHOLI,NORTHERN REGION,43418.000000000000000,227792.000000000000000,110495.000000000000000,117297.000000000000000,3524.058046353026400,64.639116894154782,5.246487631857755,41806.000000000000000,11027.000000000000000,26128.000000000000000,54961.000000000000000,26739.000000000000000,51661.000000000000000,39671.000000000000000,39867.000000000000000,3551.000000000000000,15678.000000000000000,21342.000000000000000,1537.000000000000000,41807.000000000000000,31532.000000000000000,38330.000000000000000,29469.000000000000000,38022.000000000000000,5396.000000000000000,37087.000000000000000,6331.000000000000000,39966.000000000000000,3452.000000000000000,10702.000000000000000,32716.000000000000000,8506.000000000000000,12354.000000000000000,22558.000000000000000,2492.000000000000000,5.739555023262242,10607.000000000000000,20726.000000000000000,9593.000000000000000,Electrified,Operated by PACMECS,338150.659815451250000,3524103907.859401200000000
4,4.000000000000000,ALEBTONG,Alebtong,323.000000000000000,ALEBTONG,Alebtong,LANGO,NORTHERN REGION,46280.000000000000000,227541.000000000000000,110989.000000000000000,116552.000000000000000,1550.857006725302200,146.719522827228330,4.916616248919620,43305.000000000000000,8896.000000000000000,22128.000000000000000,67215.000000000000000,24265.000000000000000,61705.000000000000000,34476.000000000000000,42738.000000000000000,3542.000000000000000,23668.000000000000000,26557.000000000000000,1710.000000000000000,45229.000000000000000,37688.000000000000000,43404.000000000000000,39828.000000000000000,40712.000000000000000,5568.000000000000000,35356.000000000000000,10924.000000000000000,42805.000000000000000,3475.000000000000000,15618.000000000000000,30662.000000000000000,6346.000000000000000,33334.000000000000000,6600.000000000000000,1871.000000000000000,4.042783059636992,4901.000000000000000,29050.000000000000000,10458.000000000000000,Electrified,,316179.739129270890000,1550875397.253584900000000
5,5.000000000000000,AMOLATAR,Amolatar,315.000000000000000,AMOLATAR,Amolatar,LANGO,NORTHERN REGION,27988.000000000000000,147166.000000000000000,73014.000000000000000,74152.000000000000000,1751.918856556497300,84.002749013880518,5.258182078033443,28207.000000000000000,5287.000000000000000,8926.000000000000000,46224.000000000000000,18620.000000000000000,46339.000000000000000,16832.000000000000000,23864.000000000000000,4124.000000000000000,15685.000000000000000,19866.000000000000000,1738.000000000000000,26927.000000000000000,23859.000000000000000,26286.000000000000000,26631.000000000000000,23629.000000000000000,4359.000000000000000,18661.000000000000000,9327.000000000000000,25082.000000000000000,2906.000000000000000,859.000000000000000,27129.000000000000000,2304.000000000000000,21477.000000000000000,4207.000000000000000,2591.000000000000000,9.257538945262256,2980.000000000000000,10193.000000000000000,12224.000000000000000,Electrified,,216066.848124363580000,1751937631.798017700000000
6,6.000000000000000,AMUDAT,Amudat,324.000000000000000,AMUDAT,Amudat,KARAMOJA,NORTHERN REGION,15494.000000000000000,105769.000000000000000,54246.000000000000000,51523.000000000000000,1632.224646130606100,64.800516430589823,6.826448947979864,6609.000000000000000,20074.000000000000000,33178.000000000000000,4169.000000000000000,4281.000000000000000,6462.000000000000000,28840.000000000000000,12010.000000000000000,3484.000000000000000,3045.000000000000000,1600.000000000000000,0.000000000000000,13468.000000000000000,8375.000000000000000,13133.000000000000000,12471.000000000000000,14783.000000000000000,711.000000000000000,11862.000000000000000,3632.000000000000000,14334.000000000000000,1160.000000000000000,6632.000000000000000,8862.000000000000000,652.000000000000000,1338.000000000000000,13504.000000000000000,293.000000000000000,1.891054601781335,2088.000000000000000,1372.000000000000000,11741.000000000000000,Electrified,,312046.582371751780000,1632242523.424610600000000
7,7.000000000000000,AMURIA,Amuria,216.000000000000000,AMURIA,Amuria,TESO,EASTERN REGION,48316.000000000000000,270928.000000000000000,132521.000000000000000,138407.000000000000000,2586.641037291996300,104.741243989401670,5.607417832602037,54262.000000000000000,8759.000000000000000,21415.000000000000000,73694.000000000000000,33464.000000000000000,67628.000000000000000,40681.000000000000000,41769.000000000000000,6547.000000000000000,25337.000000000000000,29873.000000000000000,2286.000000000000000,46015.000000000000000,37400.000000000000000,44207.000000000000000,41345.000000000000000,42584.000000000000000,5732.000000000000000,41278.000000000000000,7038.000000000000000,43594.000000000000000,4722.000000000000000,4079.000000000000000,44237.000000000000000,7093.000000000000000,29687.000000000000000,11536.000000000000000,3449.000000000000000,7.138422054805861,2752.000000000000000,18163.000000000000000,23952.000000000000000,Electrified,,351405.893636126650000,2586670938.405893300000000
8,8.000000000000000,AMURU,Amuru,316.000000000000000,AMURU,Amuru,ACHOLI,NORTHERN REGION,36694.000000000000000,186696.000000000000000,91284.000000000000000,95412.000000000000000,3538.439325343599200,52.762244264813255,5.087916280590832,35206.000000000000000,9535.000000000000000,21304.000000000000000,47093.000000000000000,18913.000000000000000,43123.000000000000000,31700.000000000000000,31625.000000000000000,5069.000000000000000,15107.000000000000000,14365.000000000000000,3475.000000000000000,33205.000000000000000,27996.000000000000000,33246.000000000000000,25606.000000000000000,34206.000000000000000,2488.000000000000000,30313.000000000000000,6381.000000000000000,34219.000000000000000,2475.000000000000000,18006.000000000000000,18688.000000000000000,6343.000000000000000,21306.000000000000000,9045.000000000000000,2414.000000000000000,6.578732217801275,7239.000000000000000,22596.000000000000000,4445.000000000000000,Electrified,,487491.409418698920000,3538486161.212358000000000
9,9.000000000000000,APAC,Apac,302.000000000000000,APAC,Apac,LANGO,NORTHERN REGION,71680.000000000000000,368626.000000000000000,180995.000000000000000,187631.000000000000000,3226.048107345922700,114.265499996920210,5.142661830357143,69945.000000000000000,13791.000000000000000,21639.000000000000000,119790.000000000000000,45131.000000000000000,115627.000000000000000,43485.000000000000000,63669.000000000000000,8011.000000000000000,42524.000000000000000,48662.000000000000000,4398.000000000000000,69304.000000000000000,58000.000000000000000,66307.000000000000000,65857.000000000000000,57819.000000000000000,13861.000000000000000,52348.000000000000000,19332.000000000000000,62718.000000000000000,8962.000000000000000,7243.000000000000000,64437.000000000000000,10595.000000000000000,52457.000000000000000,8628.000000000000000,4357.000000000000000,6.078404017857142,9257.000000000000000,29274.000000000000000,28792.000000000000000,Electrified,,315182.330837077870000,3226084185.067302200000000
10,10.000000000000000,ARUA,Arua,303.000000000000000,ARUA,Arua,WEST NILE,NORTHERN REGION,145230.000000000000000,773767.000000000000000,370533.000000000000000,403234.000000000000000,4340.553525120341000,178.264591260523050,5.327873028988501,135743.000000000000000,28225.000000000000000,64570.000000000000000,230408.000000000000000,104365.000000000000000,234514.000000000000000,107942.000000000000000,113205.000000000000000,32025.000000000000000,76199.000000000000000,57390.000000000000000,131710.000000000000000,123850.399999999990000,127596.000000000000000,138752.000000000000000,127827.000000000000000,81542.000000000000000,63688.000000000000000,100542.000000000000000,44688.000000000000000,120135.000000000000000,25095.000000000000000,38449.000000000000000,106781.000000000000000,22352.000000000000000,105455.000000000000000,17423.000000000000000,15943.000000000000000,10.977759416098602,39128.000000000000000,74989.000000000000000,15170.000000000000000,Electrified,"Independent Grid, powered by Nyagak I Hydropower, Operated by WENRECO",375454.317073283480000,4340609966.093833900000000
